"date","close","volume","open","high","low"
"2019/08/30","1776.2900","3064147.0000","1797.4900","1799.7400","1764.5700"
"2019/08/29","1786.4000","3018012.0000","1783.0000","1798.5500","1777.2500"
"2019/08/28","1764.2500","2421893.0000","1755.0000","1767.8600","1744.0505"
"2019/08/27","1761.8300","3027245.0000","1775.7300","1779.4000","1746.6800"
"2019/08/26","1768.8700","3085320.0000","1766.9100","1770.0000","1743.5100"
"2019/08/23","1749.6200","5277898.0000","1793.0300","1804.8962","1745.2300"
"2019/08/22","1805.6000","2658388.0000","1828.0000","1829.4111","1800.1000"
"2019/08/21","1823.5400","2039231.0000","1819.3900","1829.5785","1815.0000"
"2019/08/20","1801.3800","1932835.0000","1814.5000","1816.8200","1799.8800"
"2019/08/19","1816.1200","2820303.0000","1818.0800","1826.0000","1812.6100"
"2019/08/16","1792.5700","3054240.0000","1792.8900","1802.9082","1784.5496"
"2019/08/15","1776.1200","3809948.0000","1781.9900","1788.0000","1761.9600"
"2019/08/14","1762.9600","4893649.0000","1793.0100","1795.6514","1757.2150"
"2019/08/13","1824.3400","4075021.0000","1783.0000","1831.7429","1780.0000"
"2019/08/12","1784.9200","2905498.0000","1795.9900","1800.9800","1777.0000"
"2019/08/09","1807.5800","2879770.0000","1828.9500","1831.0910","1802.2200"
"2019/08/08","1832.8900","3701242.0000","1806.0000","1834.2600","1798.1100"
"2019/08/07","1793.4000","4526884.0000","1773.9900","1798.9300","1757.0000"
"2019/08/06","1787.8300","5070258.0000","1792.2300","1793.7700","1753.4000"
"2019/08/05","1765.1300","6058212.0000","1770.2200","1788.6678","1748.7800"
"2019/08/02","1823.2400","4956225.0000","1845.0700","1846.3634","1808.0200"
"2019/08/01","1855.3200","4713311.0000","1871.7200","1897.9200","1844.0100"
"2019/07/31","1866.7800","4470727.0000","1898.1100","1899.5500","1849.4400"
"2019/07/30","1898.5300","2910888.0000","1891.1150","1909.8900","1883.4800"
"2019/07/29","1912.4500","4493190.0000","1930.0000","1932.2260","1890.5400"
"2019/07/26","1943.0500","4927143.0000","1942.0000","1950.8950","1924.5100"
"2019/07/25","1973.8200","4136461.0000","2001.0000","2001.2000","1972.7200"
"2019/07/24","2000.8100","2631300.0000","1969.3000","2001.3000","1965.8700"
"2019/07/23","1994.4900","2703480.0000","1995.9900","1997.7900","1973.1300"
"2019/07/22","1985.6300","2908111.0000","1971.1400","1989.0000","1958.2600"
"2019/07/19","1964.5200","3185612.0000","1991.2100","1996.0000","1962.2255"
"2019/07/18","1977.9000","3504252.0000","1980.0100","1987.5000","1951.5500"
"2019/07/17","1992.0300","2558809.0000","2007.0500","2012.0000","1992.0300"
"2019/07/16","2009.9000","2618198.0000","2010.5800","2026.3196","2001.2200"
"2019/07/15","2020.9900","2981343.0000","2021.4000","2022.9000","2001.5500"
"2019/07/12","2011.0000","2509297.0000","2008.2700","2017.0000","2003.8700"
"2019/07/11","2001.0700","4317766.0000","2025.6200","2035.8000","1995.3000"
"2019/07/10","2017.4100","4931902.0000","1996.5100","2024.9400","1995.4000"
"2019/07/09","1988.3000","4345698.0000","1947.8000","1990.0100","1943.4750"
"2019/07/08","1952.3200","2883371.0000","1934.1200","1956.0000","1928.2532"
"2019/07/05","1942.9100","2628359.0000","1928.6000","1945.9000","1925.3000"
"2019/07/03","1939.0000","1690294.0000","1935.8900","1941.5900","1930.5000"
"2019/07/02","1934.3100","2651299.0000","1919.3800","1934.7900","1906.6300"
"2019/07/01","1922.1900","3203347.0000","1922.9800","1929.8200","1914.6600"
"2019/06/28","1893.6300","3037358.0000","1909.1000","1912.9400","1884.0000"
"2019/06/27","1904.2800","2141721.0000","1902.0000","1911.2400","1898.0400"
"2019/06/26","1897.8300","2441910.0000","1892.4800","1903.8000","1887.3200"
"2019/06/25","1878.2700","3012347.0000","1911.8400","1916.3850","1872.4200"
"2019/06/24","1913.9000","2282969.0000","1912.6600","1916.8600","1901.3000"
"2019/06/21","1911.3000","3933576.0000","1916.1000","1925.9500","1907.5800"
"2019/06/20","1918.1900","3217153.0000","1933.3300","1935.2000","1905.8000"
"2019/06/19","1908.7900","2895347.0000","1907.8400","1919.5807","1892.4700"
"2019/06/18","1901.3700","3895728.0000","1901.3500","1921.6700","1899.7900"
"2019/06/17","1886.0300","2634342.0000","1876.5000","1895.6880","1875.4500"
"2019/06/14","1869.6700","2851163.0000","1864.0000","1876.0000","1859.0000"
"2019/06/13","1870.3000","2795810.0000","1866.7200","1883.0900","1862.2200"
"2019/06/12","1855.3200","2678335.0000","1853.9800","1865.0000","1844.3800"
"2019/06/11","1863.7000","4042694.0000","1883.2500","1893.7000","1858.0000"
"2019/06/10","1860.6300","5371007.0000","1822.0000","1884.8700","1818.0000"
"2019/06/07","1804.0300","4808246.0000","1763.7000","1806.2538","1759.4900"
"2019/06/06","1754.3600","3689272.0000","1737.7100","1760.0000","1726.1300"
"2019/06/05","1738.5000","4239782.0000","1749.6000","1752.0000","1715.2514"
"2019/06/04","1729.5600","5679121.0000","1699.2400","1730.8200","1680.8900"
"2019/06/03","1692.6900","9098708.0000","1760.0100","1766.2900","1672.0000"
"2019/05/31","1775.0700","4618819.0000","1790.0100","1795.5850","1772.7034"
"2019/05/30","1816.3200","3146850.0000","1825.4900","1829.4700","1807.8250"
"2019/05/29","1819.1900","4279025.0000","1823.1200","1830.0000","1807.5327"
"2019/05/28","1836.4300","3199965.0000","1832.7500","1849.2669","1827.3500"
"2019/05/24","1823.2800","3369673.0000","1835.8900","1841.7600","1817.8510"
"2019/05/23","1815.4800","4424265.0000","1836.5900","1844.0000","1804.2000"
"2019/05/22","1859.6800","2936601.0000","1851.7800","1871.4850","1851.0000"
"2019/05/21","1857.5200","4005122.0000","1874.7900","1878.9999","1846.0000"
"2019/05/20","1858.9700","3798198.0000","1852.6900","1867.7800","1835.5400"
"2019/05/17","1869.0000","4736618.0000","1893.0500","1910.5300","1867.3300"
"2019/05/16","1907.5700","4707822.0000","1885.9400","1917.5100","1882.2900"
"2019/05/15","1871.1500","4692642.0000","1827.9500","1874.4270","1823.0000"
"2019/05/14","1840.1200","4629107.0000","1839.5000","1852.4400","1815.7500"
"2019/05/13","1822.6800","5783410.0000","1836.5600","1846.5350","1818.0000"
"2019/05/10","1889.9800","5717994.0000","1898.0000","1903.7900","1856.0000"
"2019/05/09","1899.8700","5308263.0000","1900.0000","1909.4000","1876.0000"
"2019/05/08","1917.7700","4078568.0000","1918.8700","1935.3700","1910.0000"
"2019/05/07","1921.0000","5902134.0000","1939.9900","1949.1005","1903.3795"
"2019/05/06","1950.5500","5417841.0000","1917.9800","1959.0000","1910.5000"
"2019/05/03","1962.4600","6381564.0000","1949.0000","1964.4000","1936.0000"
"2019/05/02","1900.8200","3962915.0000","1913.3300","1921.5500","1881.8700"
"2019/05/01","1911.5200","3116964.0000","1933.0900","1943.6400","1910.5500"
"2019/04/30","1926.5200","3492929.0000","1930.1000","1935.7100","1906.9500"
"2019/04/29","1938.4300","4000052.0000","1949.0000","1956.3350","1934.0900"
"2019/04/26","1950.6300","8396605.0000","1929.0000","1951.0000","1898.0000"
"2019/04/25","1902.2500","5625972.0000","1917.0040","1922.4500","1900.3100"
"2019/04/24","1901.7500","3618382.0000","1925.0000","1929.6899","1898.1600"
"2019/04/23","1923.7700","4632169.0000","1891.2000","1929.2600","1889.5800"
"2019/04/22","1887.3100","3361162.0000","1855.4000","1888.4200","1845.6400"
"2019/04/18","1861.6900","2745002.0000","1868.7900","1870.8200","1859.4800"
"2019/04/17","1864.8200","2838130.0000","1872.9900","1876.4730","1860.4400"
"2019/04/16","1863.0400","3036907.0000","1851.3500","1869.7700","1848.0000"
"2019/04/15","1844.8700","3710653.0000","1842.0000","1846.8500","1818.9000"
"2019/04/12","1843.0600","3090899.0000","1848.4000","1851.5000","1841.3000"
"2019/04/11","1844.0700","2623197.0000","1848.7000","1849.9500","1840.3100"
"2019/04/10","1847.3300","2951939.0000","1841.0000","1848.0000","1828.8100"
"2019/04/09","1835.8400","3703283.0000","1845.4900","1853.0900","1831.7800"
"2019/04/08","1849.8600","3745428.0000","1833.2300","1850.2000","1825.1100"
"2019/04/05","1837.2800","3628458.0000","1829.0000","1838.5800","1825.1900"
"2019/04/04","1818.8600","3614013.0000","1820.6500","1828.7500","1804.2000"
"2019/04/03","1820.7000","3923043.0000","1826.7200","1830.0000","1809.6200"
"2019/04/02","1813.9800","3435556.0000","1811.0200","1820.0000","1805.1210"
"2019/04/01","1814.1900","4173480.0000","1800.1100","1815.6700","1798.7300"
"2019/03/29","1780.7500","3316831.0000","1786.5800","1792.8600","1776.6300"
"2019/03/28","1773.4200","3030860.0000","1770.0000","1777.9300","1753.4700"
"2019/03/27","1765.7000","4316646.0000","1784.1300","1787.5000","1745.6800"
"2019/03/26","1783.7600","4848654.0000","1793.0000","1805.7700","1773.3598"
"2019/03/25","1774.2600","5098182.0000","1757.7900","1782.6751","1747.5000"
"2019/03/22","1764.7700","6347858.0000","1810.1700","1818.9800","1763.1100"
"2019/03/21","1819.2600","5740075.0000","1796.2600","1823.7500","1787.2810"
"2019/03/20","1797.2700","6153806.0000","1769.9400","1799.5000","1767.0338"
"2019/03/19","1761.8500","6339232.0000","1753.5100","1784.1600","1753.5100"
"2019/03/18","1742.1500","5403392.0000","1712.7000","1750.0000","1712.6300"
"2019/03/15","1712.3600","7538300.0000","1703.0000","1718.8000","1693.1300"
"2019/03/14","1686.2200","2937759.0000","1691.2000","1702.0000","1684.3400"
"2019/03/13","1690.8100","3540837.0000","1683.0000","1700.0000","1679.3500"
"2019/03/12","1673.1000","3562993.0000","1669.0000","1684.2650","1660.9800"
"2019/03/11","1670.6200","3797298.0000","1626.1200","1672.2850","1626.0100"
"2019/03/08","1620.8000","4659945.0000","1604.0100","1622.7200","1586.5700"
"2019/03/07","1625.9500","4945564.0000","1667.3700","1669.7534","1620.5100"
"2019/03/06","1668.9500","3984996.0000","1695.9700","1697.7500","1668.2800"
"2019/03/05","1692.4300","3667977.0000","1702.9500","1707.8000","1689.0100"
"2019/03/04","1696.1700","6154237.0000","1685.0000","1709.4300","1674.3600"
"2019/03/01","1671.7300","4661618.0000","1655.1300","1674.2600","1651.0000"
"2019/02/28","1639.8300","3016008.0000","1635.2500","1651.7700","1633.8300"
"2019/02/27","1641.0900","3141146.0000","1628.1800","1641.8100","1615.1000"
"2019/02/26","1636.4000","2657019.0000","1625.9800","1639.9900","1616.1335"
"2019/02/25","1633.0000","3169190.0000","1641.4500","1654.6000","1630.3873"
"2019/02/22","1631.5600","3090342.0000","1623.5000","1634.9400","1621.1700"
"2019/02/21","1619.4400","3460682.0000","1619.8500","1623.5600","1600.9100"
"2019/02/20","1622.1000","3314310.0000","1630.0000","1634.9300","1610.1200"
"2019/02/19","1627.5800","3671821.0000","1601.0000","1634.0000","1600.5600"
