date,volume,open,open_difference_daily,open_difference_daily_percentage,open_difference_weekly,open_difference_weekly_percentage,close,close_difference_daily,close_difference_daily_percentage,close_difference_weekly,close_difference_weekly_percentage,low,low_difference_daily,low_difference_daily_percentage,low_difference_weekly,low_difference_weekly_percentage,high,high_difference_daily,high_difference_daily_percentage,high_difference_weekly,high_difference_weekly_percentage
2016/12/23,2187209.0000,239.5400,-1.69,-0.7006,-3.26,-1.3427,240.9700,0.85,0.354,2.07,0.8665,238.9100,-0.64,-0.2672,0.51,0.2139,241.9000,-0.96,-0.3953,-1.29,-0.5304
2016/12/27,1977011.0000,241.9500,2.41,1.0061,3.61,1.5146,241.5600,0.59,0.2448,2.49,1.0415,240.4000,1.49,0.6237,4.14,1.7523,242.5899,0.6899,0.2852,2.8499,1.1887
2016/12/28,3037785.0000,243.6900,1.74,0.7192,3.17,1.318,240.6500,-0.91,-0.3767,-2.44,-1.0037,240.4400,0.04,0.0166,0.21,0.0874,244.5000,1.9101,0.7874,0.85,0.3489
2016/12/29,2618305.0000,240.7500,-2.94,-1.2065,-1.49,-0.6151,238.1800,-2.47,-1.0264,-3.26,-1.3502,236.6400,-3.8,-1.5804,-3.44,-1.4329,241.0700,-3.43,-1.4029,-1.33,-0.5487
2016/12/30,2355074.0000,238.5100,-2.24,-0.9304,-2.72,-1.1276,239.4500,1.27,0.5332,-0.67,-0.279,237.4000,0.76,0.3212,-2.15,-0.8975,240.5000,-0.57,-0.2364,-2.36,-0.9718
2017/01/03,4380495.0000,242.7000,4.19,1.7567,3.16,1.3192,241.5700,2.12,0.8854,0.6,0.249,237.9700,0.57,0.2401,-0.94,-0.3935,244.9700,4.47,1.8586,3.07,1.2691
2017/01/04,2728477.0000,241.4400,-1.26,-0.5192,-0.51,-0.2108,243.1300,1.56,0.6458,1.57,0.6499,240.0300,2.06,0.8657,-0.37,-0.1539,243.3200,-1.65,-0.6736,0.7301,0.301
2017/01/05,3561750.0000,242.7200,1.28,0.5302,-0.97,-0.398,241.3200,-1.81,-0.7445,0.67,0.2784,236.7800,-3.25,-1.354,-3.66,-1.5222,243.2324,-0.0876,-0.036,-1.2676,-0.5184
2017/01/06,3590754.0000,242.2900,-0.43,-0.1772,1.54,0.6397,244.9000,3.58,1.4835,6.72,2.8214,241.3700,4.59,1.9385,4.73,1.9988,246.2000,2.9676,1.2201,5.13,2.128
2017/01/09,3019223.0000,243.2500,0.96,0.3962,4.74,1.9873,242.8900,-2.01,-0.8207,3.44,1.4366,241.4700,0.1,0.0414,4.07,1.7144,244.6900,-1.51,-0.6133,4.19,1.7422
2017/01/10,3428394.0000,240.8700,-2.38,-0.9784,-1.83,-0.754,242.5700,-0.32,-0.1317,1.0,0.414,239.0500,-2.42,-1.0022,1.08,0.4538,243.4400,-1.25,-0.5109,-1.53,-0.6246
2017/01/11,3521799.0000,242.7700,1.9,0.7888,1.33,0.5509,245.7600,3.19,1.3151,2.63,1.0817,242.0000,2.95,1.2341,1.97,0.8207,245.8400,2.4,0.9859,2.52,1.0357
