date,volume,open,open_difference_daily,open_difference_daily_percentage,open_difference_weekly,open_difference_weekly_percentage,close,close_difference_daily,close_difference_daily_percentage,close_difference_weekly,close_difference_weekly_percentage,low,low_difference_daily,low_difference_daily_percentage,low_difference_weekly,low_difference_weekly_percentage,high,high_difference_daily,high_difference_daily_percentage,high_difference_weekly,high_difference_weekly_percentage
2018/06/21,102596960.0000,46.8125,0.225,0.483,-1.075,-2.2448,46.3650,-0.26,-0.5576,-1.335,-2.7987,46.2350,-0.1975,-0.4253,-1.32,-2.7757,47.0875,0.2875,0.6143,-0.805,-1.6808
2018/06/22,108740520.0000,46.5300,-0.2825,-0.6035,-0.9775,-2.0576,46.2300,-0.135,-0.2912,-0.98,-2.0758,46.1750,-0.06,-0.1298,-0.89,-1.891,46.5375,-0.55,-1.168,-1.0025,-2.1088
2018/06/25,126529280.0000,45.8500,-0.68,-1.4614,-1.12,-2.3845,45.5425,-0.6875,-1.4871,-1.6425,-3.481,45.1825,-0.9925,-2.1494,-1.6175,-3.4562,46.2300,-0.3075,-0.6608,-1.075,-2.2725
2018/06/26,97513920.0000,45.7475,-0.1025,-0.2236,-0.5375,-1.1613,46.1075,0.565,1.2406,-0.315,-0.6786,45.6350,0.4525,1.0015,-0.2275,-0.496,46.6325,0.4025,0.8706,0.05,0.1073
2018/06/27,99949040.0000,46.3070,0.5595,1.223,-0.2805,-0.6021,46.0400,-0.0675,-0.1464,-0.585,-1.2547,46.0075,0.3725,0.8163,-0.425,-0.9153,46.8200,0.1875,0.4021,0.02,0.0427
2018/06/28,69409520.0000,46.0250,-0.282,-0.609,-0.7875,-1.6822,46.3750,0.335,0.7276,0.01,0.0216,45.9500,-0.0575,-0.125,-0.285,-0.6164,46.5525,-0.2675,-0.5713,-0.535,-1.1362
2018/06/29,90206640.0000,46.5725,0.5475,1.1896,0.0425,0.0913,46.2775,-0.0975,-0.2102,0.0475,0.1027,45.7275,-0.2225,-0.4842,-0.4475,-0.9691,46.7975,0.245,0.5263,0.26,0.5587
2018/07/02,70700840.0000,45.9550,-0.6175,-1.3259,0.105,0.229,46.7950,0.5175,1.1183,1.2525,2.7502,45.8550,0.1275,0.2788,0.6725,1.4884,46.8250,0.0275,0.0588,0.595,1.287
2018/07/03,55819240.0000,46.9475,0.9925,2.1597,1.2,2.6231,45.9800,-0.815,-1.7416,-0.1275,-0.2765,45.8850,0.03,0.0654,0.25,0.5478,46.9875,0.1625,0.347,0.355,0.7613
2018/07/05,66175520.0000,46.3150,-0.6325,-1.3472,0.008,0.0173,46.3500,0.37,0.8047,0.31,0.6733,46.0700,0.185,0.4032,0.0625,0.1358,46.6025,-0.385,-0.8194,-0.2175,-0.4645
2018/07/06,69704640.0000,46.3550,0.04,0.0864,0.33,0.717,46.9925,0.6425,1.3862,0.6175,1.3315,46.3000,0.23,0.4992,0.35,0.7617,47.1085,0.506,1.0858,0.556,1.1944
2018/07/09,78545560.0000,47.3750,1.02,2.2004,0.8025,1.7231,47.6450,0.6525,1.3885,1.3675,2.955,47.3250,1.025,2.2138,1.5975,3.4935,47.6700,0.5615,1.1919,0.8725,1.8644
2018/07/10,63205480.0000,47.6775,0.3025,0.6385,1.7225,3.7482,47.5875,-0.0575,-0.1207,0.7925,1.6936,47.5450,0.22,0.4649,1.69,3.6855,47.8200,0.15,0.3147,0.995,2.1249
2018/07/11,75105560.0000,47.1250,-0.5525,-1.1588,0.1775,0.3781,46.9700,-0.6175,-1.2976,0.99,2.1531,46.9025,-0.6425,-1.3514,1.0175,2.2175,47.4450,-0.375,-0.7842,0.4575,0.9737
2018/07/12,72000720.0000,47.3825,0.2575,0.5464,1.0675,2.3049,47.7575,0.7875,1.6766,1.4075,3.0367,47.3275,0.425,0.9061,1.2575,2.7295,47.8525,0.4075,0.8589,1.25,2.6823
2018/07/13,50027320.0000,47.7700,0.3875,0.8178,1.415,3.0525,47.8325,0.075,0.157,0.84,1.7875,47.7250,0.3975,0.8399,1.425,3.0778,47.9600,0.1075,0.2246,0.8515,1.8075
2018/07/16,60039200.0000,47.8800,0.11,0.2303,0.505,1.066,47.7275,-0.105,-0.2195,0.0825,0.1732,47.6037,-0.1213,-0.2542,0.2787,0.5889,48.1625,0.2025,0.4222,0.4925,1.0331
2018/07/17,62060000.0000,47.4375,-0.4425,-0.9242,-0.24,-0.5034,47.8625,0.135,0.2829,0.275,0.5779,47.3000,-0.3037,-0.638,-0.245,-0.5153,47.9675,-0.195,-0.4049,0.1475,0.3084
2018/07/18,65462880.0000,47.9450,0.5075,1.0698,0.82,1.7401,47.6000,-0.2625,-0.5484,0.63,1.3413,47.4825,0.1825,0.3858,0.58,1.2366,47.9500,-0.0175,-0.0365,0.505,1.0644
2018/07/19,80728200.0000,47.4225,-0.5225,-1.0898,0.04,0.0844,47.9700,0.37,0.7773,0.2125,0.445,47.4225,-0.06,-0.1264,0.095,0.2007,48.1375,0.1875,0.391,0.285,0.5956
2018/07/20,82683320.0000,47.9450,0.5225,1.1018,0.175,0.3663,47.8600,-0.11,-0.2293,0.0275,0.0575,47.5425,0.12,0.253,-0.1825,-0.3824,48.1075,-0.03,-0.0623,0.1475,0.3075
2018/07/23,63823280.0000,47.6700,-0.275,-0.5736,-0.21,-0.4386,47.9025,0.0425,0.0888,0.175,0.3667,47.3900,-0.1525,-0.3208,-0.2137,-0.4489,47.9900,-0.1175,-0.2442,-0.1725,-0.3582
2018/07/24,74723720.0000,48.1125,0.4425,0.9283,0.675,1.4229,48.2500,0.3475,0.7254,0.3875,0.8096,48.0125,0.6225,1.3136,0.7125,1.5063,48.4150,0.425,0.8856,0.4475,0.9329
2018/07/25,66214000.0000,48.2650,0.1525,0.317,0.32,0.6674,48.7050,0.455,0.943,1.105,2.3214,48.1075,0.095,0.1979,0.625,1.3163,48.7125,0.2975,0.6145,0.7625,1.5902
2018/07/26,76020600.0000,48.6525,0.3875,0.8029,1.23,2.5937,48.5525,-0.1525,-0.3131,0.5825,1.2143,48.4025,0.295,0.6132,0.98,2.0665,48.9900,0.2775,0.5697,0.8525,1.771
2018/07/27,95901400.0000,48.7475,0.095,0.1953,0.8025,1.6738,47.7450,-0.8075,-1.6631,-0.115,-0.2403,47.5250,-0.8775,-1.8129,-0.0175,-0.0368,48.7975,-0.1925,-0.3929,0.69,1.4343
2018/07/30,83651560.0000,47.9750,-0.7725,-1.5847,0.305,0.6398,47.4775,-0.2675,-0.5603,-0.425,-0.8872,47.2675,-0.2575,-0.5418,-0.1225,-0.2585,48.0500,-0.7475,-1.5318,0.06,0.125
2018/07/31,151389040.0000,47.5750,-0.4,-0.8338,-0.5375,-1.1172,47.5725,0.095,0.2001,-0.6775,-1.4041,47.3350,0.0675,0.1428,-0.6775,-1.4111,48.0350,-0.015,-0.0312,-0.38,-0.7849
