date,volume,open,open_difference_daily,open_difference_daily_percentage,open_difference_weekly,open_difference_weekly_percentage,close,close_difference_daily,close_difference_daily_percentage,close_difference_weekly,close_difference_weekly_percentage,low,low_difference_daily,low_difference_daily_percentage,low_difference_weekly,low_difference_weekly_percentage,high,high_difference_daily,high_difference_daily_percentage,high_difference_weekly,high_difference_weekly_percentage
2017/05/11,2190678.0000,945.1100,-8.39,-0.8799,0.36,0.0381,947.6200,-1.33,-0.1402,10.09,1.0762,940.7750,-4.225,-0.4471,6.56,0.7022,950.2900,-3.4599,-0.3628,5.29,0.5598
2017/05/12,3622639.0000,954.5000,9.39,0.9935,13.98,1.4864,961.3500,13.73,1.4489,27.2,2.9117,951.5300,10.755,1.1432,21.23,2.2821,962.7900,12.5,1.3154,22.0,2.3385
2017/05/15,4261618.0000,958.7300,4.23,0.4432,17.78,1.8896,957.9700,-3.38,-0.3516,8.93,0.941,956.0550,4.525,0.4755,16.845,1.7935,963.1500,0.36,0.0374,14.1,1.4857
2017/05/16,3114640.0000,961.0000,2.27,0.2368,8.2,0.8606,966.0700,8.1,0.8455,13.25,1.3906,960.9100,4.855,0.5078,10.71,1.1271,970.0600,6.91,0.7174,12.17,1.2705
2017/05/17,5129887.0000,954.7000,-6.3,-0.6556,1.2,0.1259,944.7600,-21.31,-2.2058,-4.19,-0.4415,944.1200,-16.79,-1.7473,-0.88,-0.0931,960.3957,-9.6643,-0.9963,6.6458,0.6968
2017/05/18,3898729.0000,944.8000,-9.9,-1.037,-0.31,-0.0328,958.4900,13.73,1.4533,10.87,1.1471,944.7600,0.64,0.0678,3.985,0.4236,962.7500,2.3543,0.2451,12.46,1.3112
2017/05/19,3967552.0000,962.8400,18.04,1.9094,8.34,0.8738,959.8400,1.35,0.1408,-1.51,-0.1571,959.7200,14.96,1.5835,8.19,0.8607,968.9200,6.17,0.6409,6.13,0.6367
2017/05/22,2631854.0000,964.0000,1.16,0.1205,5.27,0.5497,970.6700,10.83,1.1283,12.7,1.3257,962.9000,3.18,0.3313,6.845,0.716,971.3800,2.46,0.2539,8.23,0.8545
2017/05/23,2412406.0000,975.0200,11.02,1.1432,14.02,1.4589,971.5400,0.87,0.0896,5.47,0.5662,966.8500,3.95,0.4102,5.94,0.6182,975.2000,3.82,0.3933,5.14,0.5299
2017/05/24,2455977.0000,976.0000,0.98,0.1005,21.3,2.2311,980.3500,8.81,0.9068,35.59,3.7671,970.2300,3.38,0.3496,26.11,2.7655,981.0000,5.8,0.5947,20.6043,2.1454
