date,volume,open,open_difference_daily,open_difference_daily_percentage,open_difference_weekly,open_difference_weekly_percentage,close,close_difference_daily,close_difference_daily_percentage,close_difference_weekly,close_difference_weekly_percentage,low,low_difference_daily,low_difference_daily_percentage,low_difference_weekly,low_difference_weekly_percentage,high,high_difference_daily,high_difference_daily_percentage,high_difference_weekly,high_difference_weekly_percentage
2020/01/28,58942450.0000,113.6980,5.3,4.8894,7.648,7.2117,113.3800,1.776,1.5913,3.94,3.6001,111.6160,3.76,3.4861,5.934,5.615,115.3620,2.474,2.1916,5.646,5.146
2020/01/29,91083350.0000,115.1380,1.44,1.2665,0.76,0.6645,116.1980,2.818,2.4854,2.286,2.0068,113.4860,1.87,1.6754,1.666,1.4899,117.9600,2.598,2.252,-0.94,-0.7906
2020/01/30,145028400.0000,126.4840,11.346,9.8543,13.634,12.0815,128.1620,11.964,10.2962,13.722,11.9906,123.6000,10.114,8.9121,12.4795,11.2306,130.1760,12.216,10.3561,13.776,11.8351
2020/01/31,78596350.0000,128.0000,1.516,1.1986,13.874,12.1567,130.1140,1.952,1.5231,17.15,15.1818,126.5040,2.904,2.3495,15.652,14.1197,130.6000,0.424,0.3257,15.828,13.7908
2020/02/03,236167500.0000,134.7380,6.738,5.2641,26.34,24.2993,156.0000,25.886,19.8949,44.396,39.7799,134.7040,8.2,6.482,26.848,24.8924,157.2280,26.628,20.389,44.34,39.2779
2020/02/04,304693800.0000,176.5920,41.854,31.0632,62.894,55.3167,177.4120,21.412,13.7256,64.032,56.4756,166.7760,32.072,23.8092,55.16,49.4194,193.7980,36.57,23.2592,78.436,67.9912
2020/02/05,242119200.0000,164.6520,-11.94,-6.7613,49.514,43.004,146.9400,-30.472,-17.1758,30.742,26.4566,140.8221,-25.9539,-15.5621,27.3361,24.0876,169.1960,-24.602,-12.6947,51.236,43.4351
2020/02/06,199403750.0000,139.9840,-24.668,-14.9819,13.5,10.6733,149.7920,2.852,1.9409,21.63,16.8771,137.4000,-3.4221,-2.4301,13.8,11.165,159.1660,-10.03,-5.928,28.99,22.2699
2020/02/07,85317600.0000,146.1100,6.126,4.3762,18.11,14.1484,149.6140,-0.178,-0.1188,19.5,14.9869,146.0000,8.6,6.2591,19.496,15.4114,153.9500,-5.216,-3.2771,23.35,17.879
2020/02/10,123445800.0000,160.0000,13.89,9.5065,25.262,18.749,154.2560,4.642,3.1027,-1.744,-1.1179,150.4800,4.48,3.0685,15.776,11.7116,163.9980,10.048,6.5268,6.77,4.3058
2020/02/11,58487350.0000,153.7580,-6.242,-3.9012,-22.834,-12.9304,154.8760,0.62,0.4019,-22.536,-12.7026,151.6000,1.12,0.7443,-15.176,-9.0996,156.7012,-7.2968,-4.4493,-37.0968,-19.142
2020/02/12,60112350.0000,155.5740,1.816,1.1811,-9.078,-5.5134,153.4580,-1.418,-0.9156,6.518,4.4358,152.6740,1.074,0.7084,11.8519,8.4162,157.9500,1.2488,0.7969,-11.246,-6.6467
2020/02/13,131446750.0000,148.3680,-7.206,-4.6319,8.384,5.9893,160.8000,7.342,4.7844,11.008,7.3489,147.0000,-5.674,-3.7164,9.6,6.9869,163.6000,5.65,3.5771,4.434,2.7858
2020/02/14,78468550.0000,157.4440,9.076,6.1172,11.334,7.7572,160.0060,-0.794,-0.4938,10.392,6.9459,157.1000,10.1,6.8707,11.1,7.6027,162.5940,-1.006,-0.6149,8.644,5.6148
2020/02/18,83491850.0000,168.3200,10.876,6.9079,8.32,5.2,171.6800,11.674,7.296,17.424,11.2955,166.4720,9.372,5.9656,15.992,10.6273,172.0000,9.406,5.785,8.002,4.8793
2020/02/19,127114800.0000,184.7000,16.38,9.7315,30.942,20.1238,183.4840,11.804,6.8756,28.608,18.4716,180.2040,13.732,8.2488,28.604,18.8681,188.9560,16.956,9.8581,32.2548,20.5836
2020/02/20,88174450.0000,182.3900,-2.31,-1.2507,26.816,17.2368,179.8820,-3.602,-1.9631,26.424,17.219,171.9880,-8.216,-4.5593,19.314,12.6505,182.4000,-6.556,-3.4696,24.45,15.4796
2020/02/21,71697250.0000,181.3960,-0.994,-0.545,33.028,22.2609,180.2000,0.318,0.1768,19.4,12.0647,176.0900,4.102,2.3851,29.09,19.7891,182.6120,0.212,0.1162,19.012,11.621
2020/02/24,75960800.0000,167.8000,-13.596,-7.4952,10.356,6.5776,166.7580,-13.442,-7.4595,6.752,4.2198,164.4400,-11.65,-6.6159,7.34,4.6722,172.7000,-9.912,-5.4279,10.106,6.2155
2020/02/25,86452400.0000,169.8000,2.0,1.1919,1.48,0.8793,159.9820,-6.776,-4.0634,-11.698,-6.8138,157.4000,-7.04,-4.2812,-9.072,-5.4496,171.3200,-1.38,-0.7991,-0.68,-0.3953
